trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,9,15.05081241504208,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,9,-19.03150313916845,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,0,16.030424585567136,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,22,9.086047837372202,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,0,-1.9462370432153946,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,15,6.5716824808197805,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,5,15.104691233538432,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,14,3.3094857197449588,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",30,20,-4.685920882018443,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,8,32.30326363155001,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,2,-75.37753214321334,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,19,9.042610896967668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,16,9.09130456982281,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,3,-5.431100911703124,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,9,-3.8096336115327274,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,3,4.052023218868619,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,8,20.26372677549839,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,13,3.9572666826929535,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,13,-24.078250113485648,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,8,32.37971974575348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,0,21.767190101707538,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,5,14.803749552191784,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.17033298882540943}",30,13,18.151333074210584,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,20,7.415243304511378,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,4,-5.45493715485288,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,0,24.44099539962193,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,14,20.314808089084657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
